scriptures,numbers
"3 Nephi 28, 3 Nephi 12, Book of Mormon, Doctrine and Covenants 76",279
"Book of Mormon, Ether 2, Acts 10, D&C 132",280
"No scriptures",281
"Book of Mormon, New Testament",282
"No scriptures",283
"No scriptures",284
"Book of Mormon, Hebrews",285
"No scriptures",286
"Joseph Smith—History",287
"1 John",288
"No scriptures",289
"Bible, books of Ether and his, Leviticus 26, Neh, 1 Ne. 1, 1 Ne. 7, 2 Nephi 9, 2 Nephi 10, 2 Nephi 25, 2 Nephi, 2 Nephi 31, 2 Ne. 2, 2 Ne. 9, 2 Ne. 10, 2 Ne. 11, 2 Ne. 25, 2 Ne. 31, 2 Ne. 26, Omni 1, Mosiah 3, Mosiah 5, Mosiah 1, Mosiah 27, Mosiah 2, Mosiah 28, Alma 5, Alma 9, Alma 7, Alma 39, Alma 41, Alma 42, Alma 36, Alma 11, Alma 22, Alma 24, Alma 40, Alma 1, Alma 30, Helaman, Helaman 12, 3 Ne. 10, 3 Ne. 11, 3 Ne. 15, Book of Mormon, Mormon 2, Mormon 5, Mormon 4, Ether 12, Ether 4, Ether 2, Moroni 7, Moroni 8, Moroni 9, Moroni 10, Moroni 6, New Testament, Matt. 24, Mark 13",290
"Bible, Exodus, Ex. 12, Ex. 23, Jonah 1, Jonah 2, 2 Ne. 5, Jarom 1, Mosiah 2, Alma 30, Alma 25, Helaman 14, Helaman 13, 3 Nephi, 3 Nephi 8, 3 Ne. 1, 3 Ne. 2, 3 Ne. 8, Book of Mormon, New Testament, Matthew 26, Matthew 16, Matthew 12, Matthew 27, Matt. 26, Matt. 2, Matt. 27, Matt. 16, Matt. 12, Mark 14, Mark 15, Mark 9, Mark 8, Luke 22, Luke 3, Luke 23, Luke 24, Luke 9, John 12, John 5, John 2, John 6, John 7, John 10, John 19, John 18, John 13",291
"No scriptures",292
"No scriptures",293
"Book of Mormon",294
"No scriptures",295
"No scriptures",296
"No scriptures",297
"Bible, Book of Mormon",298
"Genesis 5, 4 New, D&C 128, D&C 132, Moses 7, Abr. 3",299
"2 John, 3 John",300
"1 Nephi 18, 1 Ne. 18, Enos 1, Alma 18, Alma 32, Helaman, 3 Nephi 6, 3 Ne. 3, 3 Ne. 6, Book of Mormon, Ether 9",301
"No scriptures",302
"Moses 1",303
"Genesis, 2 Ne. 25, Book of Mormon",304
"Exodus",305
"No scriptures",306
"No scriptures",307
"Book of Mormon",308
"Mark 3, D&C 107, Moses 6, Abr. 1",309
"Book of Mormon",310
"Genesis",311
"Doctrine and Covenants",312
"Doctrine and Covenants 121, D&C 121",313
"Bible, Genesis 1, Genesis, Genesis 22, Genesis 3, Genesis 2, Deuteronomy 4, Ps. 85, Ecclesiastes 1, Isaiah 45, Book of Mormon, New Testament, Philip. 2, Heb., Doctrine and Covenants 21, Doctrine and Covenants 28, Moses 1, Moses., Moses 2, Moses 4, Moses 5, Joseph Smith Translation, JST",314
"Bible, Psalms 118, Zechariah 1, Book of Mormon, New Testament, Matthew 2, Matthew 25, Matthew 26, Matthew 3, Matthew 17, Matthew 23, Matthew 16, Matthew 27, Matt. 2, Matt. 3, Matt. 4, Matt. 12, Matt. 21, Matt. 26, Matt. 7, Matt. 17, Matt. 27, Matt. 24, Matt. 23, Mark 1, Mark 3, Mark 12, Mark 14, Mark 9, Mark 10, Mark 13, Mark 8, Mark 15, Mark 16, Mark 4, Luke 3, Luke 4, Luke 12, Luke 16, Luke 22, Luke 8, Luke 14, Luke 23, Luke 17, Luke 24, Luke 11, Luke 9, Luke 10, John 19, John 20, 1 Cor. 11, Doctrine and Covenants, D&C 124, Joseph Smith Translation, JST",315
"Bible, Genesis, Genesis 1, Exodus, Numbers, Deuteronomy, 1 Samuel 1, Psalms, Ecclesiastes, Song of Solomon, Song of Solomon 6, Song, Lamentations, Micah, Zephaniah, Haggai, Malachi, Book of Mormon, New Testament, Luke 10, Luke 1, Luke 2, Gospels of John, John 1, Acts, Romans, Romans 8, Galatians, Philemon, Philemo, Hebrews, James 1, James 5, Revelation, Doctrine and Covenants, Doctrine and Covenants 128, D&C 21, D&C 73, D&C 45, D&C 5, D&C 105, D&C 10, D&C 95, D&C 87, D&C 93, Joseph Smith Translation, JST",316
"No scriptures",317
"Bible, Genesis, Exodus, 1 Ne. 13, Book of Mormon, Doctrine and Covenants 107, Doctrine and Covenants, D&C 58, D&C 20, D&C 42, D&C 102, D&C 89",318
